"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"e:\WorkSpace\WorkSpace_Web\ottle\src\components\SearchBar\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 2, 7
"e:\WorkSpace\WorkSpace_Web\ottle\src\components\devs\EmailSignIn.js", "JavaScript", 0, 0, 0, 68, 0, 0, 7, 75
"e:\WorkSpace\WorkSpace_Web\ottle\src\components\devs\RouterPanel.js", "JavaScript", 0, 0, 0, 59, 0, 0, 6, 65
"e:\WorkSpace\WorkSpace_Web\ottle\src\configs\routes.js", "JavaScript", 0, 0, 0, 22, 0, 0, 2, 24
"e:\WorkSpace\WorkSpace_Web\ottle\src\configs\utils.js", "JavaScript", 0, 0, 0, 16, 0, 35, 5, 56
"e:\WorkSpace\WorkSpace_Web\ottle\src\configs\vars.js", "JavaScript", 0, 0, 0, 2, 0, 0, 1, 3
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\alert\alertSlice.js", "JavaScript", 0, 0, 0, 77, 0, 7, 10, 94
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\main\ThreadSlice.js", "JavaScript", 0, 0, 0, 30, 0, 0, 5, 35
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\modal\modalSlice.js", "JavaScript", 0, 0, 0, 27, 0, 0, 4, 31
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\artboardSlice.js", "JavaScript", 0, 0, 0, 83, 0, 9, 15, 107
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\itemDrawerCategorySlice.js", "JavaScript", 0, 0, 0, 104, 0, 0, 5, 109
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\itemDrawerItemsSlice.js", "JavaScript", 0, 0, 0, 44, 0, 0, 5, 49
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\itemDrawerSlice.js", "JavaScript", 0, 0, 0, 20, 0, 0, 4, 24
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\ottleActionSlice.js", "JavaScript", 0, 0, 0, 89, 0, 21, 10, 120
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\ottleItemSlice.js", "JavaScript", 0, 0, 0, 90, 0, 20, 9, 119
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottleMaker\ottlePostingSlice.js", "JavaScript", 0, 0, 0, 28, 0, 0, 4, 32
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\ottle\ottleSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
